time,biomass,nutrient,temperature,light,nutrient_rate,light_level,heater_power,DO
43.0,4.535229549272433,46.23238522536378,24.999672,200.0,1.0,200.0,0.0,0.156550024438536
44.0,4.697353945164233,47.15132302741788,24.999664,200.0,1.0,200.0,0.0,0.16212439589179992
45.0,4.865249429662513,48.067375285168744,24.999657,200.0,1.0,200.0,0.0,0.1678954844982806
46.0,5.039119543339578,48.98044022833021,24.99965,200.0,1.0,200.0,0.0,0.17387011367706504
47.0,5.219174878204963,49.890412560897516,24.999641,200.0,1.0,200.0,0.0,0.18005533486538425
48.0,5.405633312740908,50.79718334362954,24.999634,200.0,1.0,200.0,0.0,0.18645843453594513
49.0,5.598720254123567,51.70063987293821,24.999626,200.0,1.0,200.0,0.0,0.1930869413826588
50.0,5.798668887798707,52.600665556100644,24.999619,200.0,1.0,200.0,0.0,0.19994863367514026
51.0,6.0057204345806765,53.49713978270966,24.99961,200.0,1.0,200.0,0.0,0.2070515467819694
52.0,6.2201244154429,54.389937792278545,24.999603,200.0,1.0,200.0,0.0,0.2144039808622235
53.0,6.442138924167218,55.27893053791639,24.999596,200.0,1.0,200.0,0.0,0.2220145087243181
54.0,6.672030908017836,56.16398454599108,24.999588,200.0,1.0,200.0,0.0,0.229891983850618
55.0,6.910076456603548,57.04496177169822,24.99958,200.0,1.0,200.0,0.0,0.23804554858571114
56.0,7.156561099089099,57.92171945045544,24.999573,200.0,1.0,200.0,0.0,0.24648464248555074
57.0,7.4117801099130665,58.79410994504346,24.999565,200.0,1.0,200.0,0.0,0.255219010823968
58.0,7.676038823165332,59.66198058841733,24.999557,200.0,1.0,200.0,0.0,0.26425871325226524
59.0,7.949652955772055,60.52517352211397,24.99955,200.0,1.0,200.0,0.0,0.27361413260672357
60.0,8.232948939629987,61.383525530185004,24.999542,200.0,1.0,200.0,0.0,0.2832959838579318
61.0,8.52626426282479,62.2368678685876,24.999535,200.0,1.0,200.0,0.0,0.29331532319480347
62.0,8.829947820059804,63.08502608997009,24.999527,200.0,1.0,200.0,0.0,0.30368355723501406
63.0,9.144360272412191,63.92781986379389,24.99952,200.0,1.0,200.0,0.0,0.31441245235238774
64.0,9.469874416522591,64.7650627917387,24.999512,200.0,1.0,200.0,0.0,0.3255141441104002
65.0,9.806875563312126,65.59656221834393,24.999504,200.0,1.0,200.0,0.0,0.3370011467895345
66.0,10.155761926306742,66.42211903684662,24.999496,200.0,1.0,200.0,0.0,0.3488863629946154
67.0,10.516945019633301,67.24152749018334,24.999489,200.0,1.0,200.0,0.0,0.36118309332655907
68.0,10.89085006573438,68.05457496713281,24.999481,200.0,1.0,200.0,0.0,0.37390504610107866
69.0,11.27791641282925,68.86104179358537,24.999474,200.0,1.0,200.0,0.0,0.3870663470948693
70.0,11.678597962126844,69.66070101893658,24.999466,200.0,1.0,200.0,0.0,0.4006815492975946
71.0,12.093363604772435,70.45331819761378,24.999458,200.0,1.0,200.0,0.0,0.4147656426455911
72.0,12.52269766848307,71.23865116575847,24.99945,200.0,1.0,200.0,0.0,0.4293340637106359
73.0,12.967100373797363,72.01644981310132,24.999443,200.0,1.0,200.0,0.0,0.4444027053142924
74.0,13.427088299832683,72.78645585008366,24.999435,200.0,1.0,200.0,0.0,0.459987926035319
75.0,13.903194859407002,73.54840257029649,25.000137,200.0,1.0,200.0,5.926132,0.4761065595743196
76.0,14.39597071797022,74.30201464101488,25.002087,200.0,1.0,200.0,16.35443,0.49277585856321926
77.0,14.905984004778032,75.04700799761098,25.005014,200.0,1.0,200.0,24.5332,0.5100132868078128
78.0,15.433820824960405,75.78308958751978,25.008606,200.0,1.0,200.0,30.078066,0.5278368201823725
79.0,15.980085861027561,76.5099570694862,25.012674,200.0,1.0,200.0,34.067165,0.5462650360671573
80.0,16.545402744879112,77.22729862756043,25.017141,200.0,1.0,200.0,37.407207,0.5653168838515497
81.0,17.130414565969254,77.93479271701536,25.021986,200.0,1.0,200.0,40.56225,0.5850118210901432
82.0,17.735784148294236,78.63210792585286,25.027206,200.0,1.0,200.0,43.707657,0.6053695823249826
83.0,18.36219482727877,79.3189025863606,25.032804,200.0,1.0,200.0,46.866165,0.6264106789845338
84.0,19.010350647720404,79.99482467613977,25.038778,200.0,1.0,200.0,49.995758,0.6481558204416329
85.0,19.680976811953368,80.65951159402329,25.045116,200.0,1.0,200.0,53.052593,0.6706261642329638
86.0,20.374820215180893,81.31258989240952,25.051811,200.0,1.0,200.0,56.035686,0.6938434032275256
87.0,21.092649850501274,81.95367507474933,25.05886,200.0,1.0,200.0,59.001686,0.7178296353203814
88.0,21.835257197452453,82.58237140127373,25.066275,200.0,1.0,200.0,62.036682,0.7426073469511794
89.0,22.603456387178067,83.19827180641093,25.074064,200.0,1.0,200.0,65.18667,0.7681991897256151
90.0,23.39808493610047,83.80095753194972,25.082237,200.0,1.0,200.0,68.38169,0.7946285489224052
91.0,24.2200038278643,84.3899980860678,25.090775,200.0,1.0,200.0,71.4255,0.8219188917638286
92.0,25.07009841636768,84.96495079181611,25.099628,200.0,1.0,200.0,74.08719,0.850094588503383
93.0,25.94927877988506,85.52536061005742,25.108738,200.0,1.0,200.0,76.22157,0.879180363517377
94.0,26.858480590645495,86.0707597046772,25.118038,200.0,1.0,200.0,77.81518,0.9092018107604347
95.0,27.798665563964224,86.60066721801783,25.127474,200.0,1.0,200.0,78.94774,0.940184973318728
96.0,28.770821763482832,87.11458911825852,25.137003,200.0,1.0,200.0,79.7307,0.9721561995186084
97.0,29.77596399640564,87.61201800179713,25.146597,200.0,1.0,200.0,80.26632,1.0051422329228072
98.0,30.815134532119423,88.09243273394023,25.156235,200.0,1.0,200.0,80.63249,1.0391705357137826
99.0,31.889402936934225,88.55529853153283,25.165903,200.0,1.0,200.0,80.882576,1.0742684048148008
100.0,32.99986672983646,89.00006663508171,25.17559,200.0,1.0,200.0,81.05085,1.110463792902235
101.0,34.147651389886725,89.42617430505658,25.185291,200.0,1.0,200.0,81.1583,1.1477846600502617
102.0,35.33391105719798,89.83304447140095,25.194998,200.0,1.0,200.0,81.21749,1.186259667311257
103.0,36.559827898486105,90.22008605075689,25.204708,200.0,1.0,200.0,81.235886,1.2259168412881258
104.0,37.82661352901107,90.58669323549441,25.214415,200.0,1.0,200.0,81.21821,1.2667856305249645
105.0,39.13550794248217,90.93224602875885,25.224115,200.0,1.0,200.0,81.16784,1.3088944134710996
106.0,40.487780386839226,91.25610980658033,25.233807,200.0,1.0,200.0,81.08789,1.3522724443570568
107.0,41.884728859302435,91.55763557034872,25.243486,200.0,1.0,200.0,80.98151,1.39694847246321
108.0,43.32768029208922,91.83615985395532,25.253149,200.0,1.0,200.0,80.85227,1.4429514327867883
109.0,44.817990417785666,92.0910047911071,25.262794,200.0,1.0,200.0,80.704346,1.4903101256964473
110.0,46.357043346167316,92.32147832691628,25.27242,200.0,1.0,200.0,80.54229,1.539052928381647
111.0,47.9462517517489,92.52687412412548,25.282026,200.0,1.0,200.0,80.37107,1.5892084055815892
112.0,49.5870556372929,92.70647218135349,25.29161,200.0,1.0,200.0,80.19569,1.6408038855439941
113.0,51.28092240408573,92.85953879795707,25.301174,200.0,1.0,200.0,80.02114,1.6938667667928322
114.0,53.02934587393497,92.98532706303246,25.310719,200.0,1.0,200.0,79.852,1.7484234698492418
115.0,54.83384535284558,93.08307732357716,25.320244,200.0,1.0,200.0,79.69225,1.8044994789106095
116.0,56.6959652700872,93.15201736495635,25.32975,200.0,1.0,200.0,79.54521,1.8621199172416179
117.0,58.617272972408436,93.19136351379574,25.339241,200.0,1.0,200.0,79.41327,1.9213077023212388
118.0,60.59935851434625,93.20032074282683,25.348719,200.0,1.0,200.0,79.29806,1.982085541937814
119.0,62.64383228262768,93.17808385868612,25.358185,200.0,1.0,200.0,79.2004,2.044473768281426
120.0,64.75232364671204,93.12383817664394,25.367641,200.0,1.0,200.0,79.12079,2.1084913640843643
121.0,66.92647887015926,93.03676056492033,25.37709,200.0,1.0,200.0,79.060074,2.174155223447222
122.0,69.16795904348302,92.91602047825845,25.386534,200.0,1.0,200.0,79.02103,2.2414801733237706
123.0,71.47843761357285,92.76078119321353,25.395977,200.0,1.0,200.0,79.01255,2.3104785700898303
124.0,73.85959617345213,92.57020191327389,25.405426,200.0,1.0,200.0,79.06072,2.381158559879288
125.0,76.31312229844491,92.3434388507775,25.414896,200.0,1.0,200.0,79.24131,2.453526124992779
126.0,78.84070110034489,92.07964944982751,25.42443,200.0,1.0,200.0,79.78281,2.5275788018999763
127.0,81.44400320908007,91.77799839545992,25.43416,200.0,1.0,200.0,81.41115,2.6033021087351846
128.0,84.12464673540448,91.43767663229771,25.444487,200.0,1.0,200.0,86.39715,2.680643526324417
129.0,86.88410973480589,91.04978531633189,25.456343,200.0,0.9918402,200.0,99.19137,2.7594629994014097
130.0,89.7236791109581,90.58809224488634,25.470509,200.0,0.9580916,200.0,118.498024,2.8395693761522147
131.0,92.6445954310006,90.07198915545607,25.486883,200.0,0.9443551,200.0,136.96524,2.9209163200424935
132.0,95.64809500870383,89.50880414397872,25.504866,200.0,0.9385648,200.0,150.40959,3.0034995777032325
133.0,98.73539779713353,88.89372457002297,25.523836,200.0,0.9285718,200.0,158.6596,3.0873027884296973
134.0,101.90763522751303,88.21439837630997,25.54359,200.0,0.9067925,200.0,165.225,3.172237430379494
135.0,105.16575757193948,87.45357034838004,25.564322,200.0,0.86823314,200.0,173.37477,3.258122344426448
136.0,108.51049935225876,86.59963363704959,25.586279,200.0,0.8184342,200.0,183.62767,3.344741780319285
137.0,111.94244008210944,85.65660045073601,25.609402,200.0,0.7729372,200.0,193.3724,3.4319407298506794
138.0,115.46203821271294,84.63119408801376,25.633417,200.0,0.7343927,200.0,200.84872,3.5195981306034985
139.0,119.06937405199578,83.48460479214401,25.658503,200.0,0.6570786,200.0,209.79138,3.607335839282837
140.0,122.76368171505106,82.11800583932808,25.685492,200.0,0.48055488,200.0,225.70372,3.69430766305528
141.0,126.54445566820391,80.63670544779652,25.713135,200.0,0.40908659,200.0,231.17654,3.7807739531528473
142.0,130.41124278146762,79.09284427842128,25.740782,200.0,0.3895324,200.0,231.20142,3.866787113263715
143.0,134.36351042585426,77.50392636857003,25.767996,200.0,0.3872159,200.0,227.58446,3.9522676443866462
144.0,138.4009210672473,75.90492208766462,25.793827,200.0,0.41970104,200.0,216.02693,4.03741064139304
145.0,142.5234102506592,74.32861075306164,25.817427,200.0,0.48493326,200.0,197.36429,4.1224891834118855
146.0,146.7306207108371,72.76575960279142,25.839197,200.0,0.5407541,200.0,182.08476,4.207210460177877
147.0,151.0219615397491,71.21407879900741,25.85933,200.0,0.5939896,200.0,168.37477,4.291340828912027
148.0,155.3965956411753,69.67225680540032,25.877968,200.0,0.64549506,200.0,155.89488,4.374634101426205
149.0,159.85281290789314,68.10790138353967,25.89612,200.0,0.6637532,200.0,151.82962,4.456217266717839
150.0,164.38743526301428,66.45873304922556,25.915016,200.0,0.61814284,200.0,158.04143,4.534622355121135
151.0,168.9969674949362,64.7188569603108,25.933516,200.0,0.56489,200.0,154.73848,4.609532231921906
152.0,173.67765967260004,62.92188618476089,25.951376,200.0,0.5433753,200.0,149.38588,4.680692177663843
153.0,178.42485018669294,61.08217479736243,25.969473,200.0,0.53388387,200.0,151.36995,4.7471905140929
154.0,183.23225748057493,59.185788931869794,25.989132,200.0,0.5073178,200.0,164.43515,4.807407293881999
155.0,188.09214514585054,57.22497194959858,26.010857,200.0,0.46912685,200.0,181.69086,4.859887665275608
156.0,192.996578047873,55.22682779520678,26.033342,200.0,0.4540723,200.0,188.06775,4.904432902022437
157.0,197.93700509986334,53.20736044783862,26.055971,200.0,0.45074618,200.0,189.25162,4.940427051990361
158.0,202.90370774745534,51.16879307985508,26.078625,200.0,0.44478396,200.0,189.45845,4.966702647591989
159.0,207.88456787120782,49.076205604019336,26.101257,200.0,0.3978426,200.0,189.29156,4.980860123752475
160.0,212.8630496107045,46.86612553186697,26.124435,200.0,0.2791608,200.0,193.85426,4.978481739496685
161.0,217.8201674631634,44.5737963412504,26.148623,200.0,0.18622974,200.0,202.29195,4.957117852458872
162.0,222.74245006486333,42.379174944537084,26.170769,200.0,0.2665199,200.0,185.23267,4.922282601699955
163.0,227.61828666121758,40.331103805745634,26.190083,200.0,0.38984716,200.0,161.55296,4.875836596354261
164.0,232.42997405825162,38.33991880268798,26.20876,200.0,0.4146587,200.0,156.21852,4.811687397034037
165.0,237.1569232246069,36.39397731916168,26.227364,200.0,0.4175331,200.0,155.62006,4.7269491663552845
166.0,241.77697805877014,34.5038763368354,26.245916,200.0,0.41992643,200.0,155.19298,4.620054834163214
167.0,246.26727859990442,32.686709827102,26.264248,200.0,0.42798376,200.0,153.34438,4.49030054113427
168.0,250.6067124772107,30.97305976509872,26.281471,200.0,0.45606688,200.0,144.07832,4.339433877306273
169.0,254.77844515269305,29.400439307961335,26.29688,200.0,0.5132459,200.0,128.90868,4.17173267548235
170.0,258.77513261313203,28.025299749399405,26.310093,200.0,0.6232042,200.0,110.54771,3.9966874604389844
171.0,262.59839512916295,26.868279029866606,26.320799,200.0,0.75461054,200.0,89.588,3.8232625160309306
172.0,266.2513922233228,25.892488550203826,26.32967,200.0,0.85070807,200.0,74.254776,3.6529970941598484
173.0,269.73618660865236,25.055514939139243,26.337496,200.0,0.9054236,200.0,65.517685,3.484794385329545
174.0,273.0547199647891,24.330217997170116,26.344772,200.0,0.93396974,200.0,60.9159,3.31853335613674
175.0,276.20997389111585,23.700615068506877,26.351767,200.0,0.94802403,200.0,58.556366,3.1552539263267234
176.0,279.2065255133552,23.15604915776639,26.358625,200.0,0.9537099,200.0,57.433556,2.996551622239335
177.0,282.05055986173426,22.687799581252193,26.365442,200.0,0.9537676,200.0,57.07171,2.844034348379042
178.0,284.74949744351875,22.287434443790875,26.372282,200.0,0.94910365,200.0,57.273685,2.698937581784511
179.0,287.3113636913644,21.94614243791767,26.379208,200.0,0.9396411,200.0,57.9875,2.5618662478456558
180.0,289.7440675813462,21.65465150681608,26.386282,200.0,0.924861,200.0,59.22799,2.4327038899817994
181.0,292.0547540373491,21.40360425974496,26.39357,200.0,0.904296,200.0,61.013424,2.3106864560028986
182.0,294.2494337281449,21.18432117894973,26.40113,200.0,0.87805676,200.0,63.301014,2.1946796907957786
183.0,296.33303522900525,20.98976457200556,26.409008,200.0,0.84724414,200.0,65.94113,2.0836015008603885
184.0,298.3098797300503,20.815295482722654,26.417213,200.0,0.81395316,200.0,68.69116,1.976844501045055
185.0,300.18437452273713,20.658789062712852,26.425732,200.0,0.780741,200.0,71.29771,1.8744947926868396
186.0,301.96162887154475,20.520032128997382,26.434523,200.0,0.74987024,200.0,73.58532,1.7772543488075896
187.0,303.64777884992185,20.399758586723497,26.44354,200.0,0.72280145,200.0,75.485825,1.6861499783771134
