time,biomass,nutrient,temperature,light,nutrient_rate,light_level,heater_power,DO
1.0,1.0257117296973806,5.4871441351513095,25.023916,100.0,0.5,100.0,200.0,0.02571172969738051
2.0,1.0520982134559707,5.973950893272014,25.047832,100.0,0.5,100.0,200.0,0.02638648375859011
3.0,1.0791733884962194,6.4604133057518895,25.071749,100.0,0.5,100.0,200.0,0.02707517504024862
4.0,1.1069518356898214,6.946524082155088,25.095665,100.0,0.5,100.0,200.0,0.02777844719360201
5.0,1.1354486779817077,7.432275661009145,25.119581,100.0,0.5,100.0,200.0,0.02849684229188642
6.0,1.16467952115116,7.917660239424419,25.143497,100.0,0.5,100.0,200.0,0.029230843169452334
7.0,1.1946604104986622,8.402669794750667,25.167414,100.0,0.5,100.0,200.0,0.029980889347502156
8.0,1.2254077921041653,8.887296103947914,25.19133,100.0,0.5,100.0,200.0,0.030747381605502968
9.0,1.2569384969947262,9.371530751502634,25.215246,100.0,0.5,100.0,200.0,0.03153070489056096
10.0,1.2892697147452954,9.855365142627349,25.239162,100.0,0.5,100.0,200.0,0.03233121775056918
11.0,1.3224189836729736,10.338790508163509,25.263079,100.0,0.5,100.0,200.0,0.03314926892767822
12.0,1.3564041823226587,10.821797908838667,25.286995,100.0,0.5,100.0,200.0,0.03398519864968503
13.0,1.391243518616673,11.30437824069166,25.310911,100.0,0.5,100.0,200.0,0.03483933629401426
14.0,1.426955520166123,11.786522239916936,25.334827,100.0,0.5,100.0,200.0,0.035712001549450145
15.0,1.4635590430159036,12.268220478492045,25.358744,100.0,0.5,100.0,200.0,0.036603522849780475
16.0,1.5010732392493549,12.74946338037532,25.38266,100.0,0.5,100.0,200.0,0.03751419623345141
17.0,1.5395175768168052,13.230241211591593,25.406576,100.0,0.5,100.0,200.0,0.03844433756745035
18.0,1.578911828069626,13.710544085965184,25.430492,100.0,0.5,100.0,200.0,0.03939425125282059
19.0,1.6192760657166705,14.190361967141662,25.454407,100.0,0.5,100.0,200.0,0.04036423764704453
20.0,1.6606306588600601,14.669684670569968,25.478321,100.0,0.5,100.0,200.0,0.04135459314338952
21.0,1.70299626606928,15.148501866965358,25.502235,100.0,0.5,100.0,200.0,0.04236560720921981
22.0,1.7463938369980077,15.626803081500993,25.52615,100.0,0.5,100.0,200.0,0.04339757092872775
23.0,1.790844602340516,16.10457769882974,25.550064,100.0,0.5,100.0,200.0,0.04445076534250839
24.0,1.836370075402087,16.581814962298953,25.573978,100.0,0.5,100.0,200.0,0.045525473061571044
